X	Y	Z
7148.4	6850.8	244.4
8054.8	6231.1	228.5
7424.8	6677	246.2
7249.2	5900.2	242.3
7360.6	6419.2	269.9
7842.6	5641.6	242.0
6380.5	5589.2	244.9
8227.9	5260.5	240.7
8915.1	3254.3	253.3
8696	4949.8	255.2
9101.6	3413.1	236.8
9229.9	2606.7	248.4
9314	2093.8	213.3
8878.5	2320.3	237.6
7966.8	974	241.7
8810.2	1246.5	237.1
9185.1	1056.6	226.6
6346.1	-121.7	232.9
7132.5	1806.2	235.6
8234.3	626.3	237.8
7227.3	689.3	224.6
6171.5	1409.5	240.1
6109.8	1329.7	246.4
5508.9	2018.2	240.4
6250.6	1695	236.6
5470.4	621.6	234.7
5458.6	93.3	235.0
5583.7	872	223.5
6168.1	397.6	232.3
7131.9	494	224.6
7554.1	40.2	232.4
7294.8	796.4	234.8
7493.1	283.3	224.7
4975.3	446	233.7
5013.4	1409.6	235.5
7767.6	217	240.3
7376.7	920.7	251.1
7814.7	1129.9	237.2
4375.2	2233.7	234.3
8977.5	1256.9	204.3
4796.8	1148.5	234.6
5188.6	3293.8	244.9
9253.7	4108.9	237.6
9417.1	3408.9	250.1
8922.5	5224.5	250.9
5204.3	2401.5	237.3
9403	3015.1	248.9
9225.9	3518.9	214.9
8394.1	5374.7	239.4
8683.2	5675.4	244.1
8308.8	5438.5	239.6
6081.5	6151.3	254.2
8910.2	5923.2	235.5
7738.6	4857.9	243.1
9365.6	1323.2	238.1
7573.8	207.9	234.8
4365.2	7648.1	224.3
4934.5	7730.2	236.3
4319.5	6830	246.8
4612.8	7528.8	233.8
4642.5	7035.9	238.3
4426.4	6170	234.4
4847	6173.4	249.5
4881.3	5759.8	239.3
5151	5399.7	243.3
9215.9	5687.1	223.3
8422.6	5816.9	240.4
7898.8	5994.3	252.7
7587.4	5482.4	241.9
7349.5	5344.8	251.5
7019	5349.1	243.6
9065.5	5701.9	235.8
9004.8	4598.2	260.4
8515.5	4519.4	241.7
8015.5	4483.3	251.4
7926.3	3861.9	241.8
8229.2	3717.2	232.4
7786.2	2716.7	239.8
7458.6	3697.4	233.6
7432.7	4597.5	242.9
6968.1	4825.3	244.1
6554	5031.1	244.5
6405.5	6073.5	237.8
6253.2	6762.1	245.4
5254.9	7158.9	239.9
5368.2	6411.2	223.7
5097.2	4738.9	241.7
5050.4	3984.8	233.3
5702	3942.1	249.9
4500.5	5075.2	248.7
3752.4	4545	237.9
3802.5	3054.8	243.4
