X	Y	Z
1349.91	2874.91	173.87
1381.64	368.3	141.98
1389.91	3134.91	179.17
1393.98	4864.19	145.21
1413.78	784.15	149.57
1469.91	4534.91	147.3
1518.53	3726.61	168.21
1547.1	4821.71	147.39
1575.66	1507.86	161.67
1585.19	4678.87	147.97
1594.71	2364.89	171.75
1604.23	3069.56	175.95
1661.37	2660.09	174.83
1661.37	241.37	138.29
1669.91	474.91	142.1
1708.98	4069.43	161.82
1708.98	2022.08	176.96
1729.91	4314.91	156.52
1737.55	1079.35	160.44
1747.07	3574.25	169
1808.2	749.99	152.11
1909.91	1614.91	176.71
1985.13	1050.78	163.27
1989.91	4534.91	154.25
2004.18	4935.98	153.4
2029.91	2954.91	167.57
2029.91	3514.91	166.78
2029.91	3954.91	159.57
2029.91	494.91	155.62
2049.91	4034.91	158.98
2169.91	2474.91	175.28
2175.58	2155.4	175.09
2189.91	3874.91	162.72
2223.17	1848.57	173.43
2232.72	3269.53	166.42
2261.29	1174.57	164.94
2269.91	4314.91	165.77
2289.85	184.23	148.23
2409.91	1674.91	170.49
2413.65	3040.99	166.44
2429.91	834.91	155.84
2432.69	4602.69	160.83
2450.65	3664.46	166.08
2509.84	3780.74	164.99
2518.39	2726.75	171.57
2547.02	2123.53	175.29
2609.91	674.91	150.23
2651.71	3402.85	169.99
2651.71	4136.08	165.79
2689.91	1654.91	175.01
2718.37	4831.23	153.54
2749.91	274.91	143.91
2842.16	3659.96	166.14
2889.91	1194.91	176.69
2908.82	2279.19	174.13
2908.9	700.63	158.42
2927.86	2669.61	172.95
2937.39	4297.97	159.82
2946.91	3107.65	169.41
2994.52	1974.47	175.87
3086.12	1584.4	171.71
3090.84	951.11	170.48
3169.91	4794.91	150.59
3189.91	4974.91	150.62
3206.26	312.58	151.58
3209.91	1334.91	170.49
3289.91	4674.91	150.99
3337.33	3564.73	166.17
3346.85	3850.41	165.36
3347.07	4161.62	162.09
3349.91	2774.91	171.71
3423.04	546.09	160.36
3436.57	2152.12	172.48
3451.6	3298.1	169
3469.91	4494.91	152.59
3489.91	4954.91	157.34
3529.91	1634.91	173.47
3603.96	888.9	165.78
3613.49	3117.17	168.99
3642.05	241.37	155.22
3699.19	3783.75	165.86
3794.41	2212.53	168.34
3822.98	2593.43	167.59
3832.5	3307.62	166.47
3851.55	1088.87	167.34
3852.72	4783.5	155.87
3861.07	4355.1	154.75
4003.91	1450.73	165.2
4003.91	3745.66	165.14
4108.66	403.25	155.43
4165.79	1945.9	165.41
4182.3	4444.48	153.47
4184.84	831.76	158.44
4203.88	2412.5	165.24
4209.91	4854.91	149.19
4213.41	2926.72	162.89
4241.97	3412.37	159.96
4251.5	3859.93	160.84
4304.86	1220.06	158.34
4337.2	4174.17	160.17
4480.04	3202.87	158.82
4509.91	2494.91	161.95
4575.26	4564.6	157.59
4577.44	295.81	146.84
4610.89	1583.45	153.6
4613.35	3878.98	156.38
4657.92	951.65	154.42
4708.58	2926.72	159.76
4756.19	3488.55	154.05
4770.95	4891.11	154.95
4813.33	1964.94	155.4
4813.33	4126.56	154.34
4829.91	1374.91	151.02
4946.64	288.98	146.85
4969.91	774.91	148.21
5003.78	2745.79	159.42
5009.91	4361.62	152.12
5022.82	1745.93	153.93
5029.91	4714.91	154.48
5041.87	3221.92	155.98
5137.09	2412.5	156.15
5149.26	3523.07	154.02
5194.23	3878.98	150.26
5279.93	4164.65	149.88
5318.02	574.65	147.9
5318.02	1536.43	157.12
5322	951.62	152.6
5337.07	3079.08	155.49
5361.34	4661.62	148.36
5389.91	5034.91	144
5449.91	4334.91	147.85
5489.91	3554.91	151.72
5509.91	1234.91	161.74
5509.91	1934.91	150.6
5622.74	3279.06	152.5
5663.28	3803.5	153.94
5669.91	4814.91	142.68
5689.4	2469.64	153.23
5718.72	160.32	143.56
5737.01	1422.16	156.09
5749.91	1854.91	148.85
5761.37	4207.32	147.75
5829.91	1794.91	147.59
5851.28	2860.06	151.36
5908.42	2117.31	149.98
5956.03	1012.69	152.55
5965.55	536.56	148.5
6009.91	4534.91	141.34
6022.69	3669.48	147.33
6023.23	3803.5	147.43
6046.67	4880.61	147.58
6063.23	4052.04	147.26
6079.82	1326.93	149.37
6128.21	753.53	147.15
6192.86	3168.41	145.22
6213.14	3983.72	147.89
6241.71	2460.12	142.55
6267.97	4692.04	146.37
6270.27	4507.46	140.53
6279.8	3774.23	147.15
6375.02	2031.6	144.01
6384.54	3907.54	148.09
6394.85	543.13	144.41
6546.43	1622.13	142.88
6549.91	4514.91	147.28
6569.91	1174.91	144.74
6584.52	431.82	142.91
6603.56	2726.75	142.87
6632.63	3035.54	142.5
6729.91	4314.91	140
6739.43	4712.07	149.68
6749.91	4954.91	152.27
6809.91	4434.91	144.91
6829.91	3874.91	145.32
6841.18	1995.28	139.49
6841.63	3383.8	142.27
6863.33	701.14	141.88
6915.61	4220.63	139.99
6969.91	2334.91	136.24
6969.91	1154.91	145.73
7013.03	2679.14	139.6
7049.91	4534.91	146.1
7098.62	579.59	138.65
7165.39	1726.88	136.48
7166.17	4818.72	148
7169.91	4454.91	145.22
7174.92	3098.13	138.18
7209.91	4174.91	137.81
7229.91	2314.91	134.35
7298.71	317.55	134.64
7317.75	917.47	139.71
7355.84	3745.66	139.36
7384.41	2041.13	136.04
7384.76	3362.89	137.22
7393.93	1288.84	136.98
7394.71	2862.73	137.69
7449.91	4294.91	141.24
7449.91	4894.91	146.12
7489.91	4634.91	140.08
